Training_ID,Student_ID,Course_Name,Training_Type,Training_Attendance,Training_Score,Feedback_Rating,Pre_Training_Score,Post_Training_Score,Training_Impact,Improvement
T00041,S0041,IoT Basics,Soft Skills,Yes,80.0,3.0,35.0,64.0,no,29.0
T00042,S0042,Python Programming,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00043,S0043,DevOps,Technical,Yes,72.0,6.0,80.0,80.0,no,0.0
T00044,S0044,Negotiation,Soft Skills,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00045,S0045,Web Development,Technical,Yes,19.0,2.0,80.0,66.0,Improvement,-14.0
T00046,S0046,Blockchain,Soft Skills,Yes,91.0,6.0,37.0,80.0,no,43.0
T00047,S0047,Cloud Computing,Technical,No,80.0,3.0,24.0,80.0,no,56.0
T00048,S0048,IoT Basics,no,no,80.0,6.0,80.0,80.0,Improvement,0.0
T00049,S0049,AI Fundamentals,Technical,no,80.0,5.0,80.0,80.0,no,0.0
T00050,S0050,Communication Skills,Technical,Yes,80.0,6.0,80.0,80.0,No Improvement,0.0
T00051,S0051,Leadership,Technical,No,80.0,3.0,30.0,80.0,Improvement,50.0
T00052,S0052,Communication Skills,Technical,no,80.0,5.0,80.0,80.0,Improvement,0.0
T00053,S0053,Data Science,Soft Skills,no,80.0,6.0,80.0,80.0,no,0.0
T00054,S0054,Web Development,Technical,No,80.0,3.0,80.0,80.0,no,0.0
T00055,S0055,Leadership,Technical,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00056,S0056,Blockchain,no,No,80.0,3.0,80.0,80.0,no,0.0
T00057,S0057,Leadership,Soft Skills,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00058,S0058,Cloud Computing,Technical,no,80.0,6.0,80.0,80.0,Improvement,0.0
T00059,S0059,Python Programming,Soft Skills,no,80.0,6.0,80.0,80.0,Improvement,0.0
T00060,S0060,no,Soft Skills,Yes,80.0,3.0,77.0,80.0,No Improvement,3.0
T00061,S0061,Communication Skills,Technical,No,80.0,6.0,80.0,80.0,No Improvement,0.0
T00062,S0062,Data Science,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00063,S0063,AI Fundamentals,Soft Skills,No,29.0,1.0,80.0,80.0,Improvement,0.0
T00064,S0064,Blockchain,Soft Skills,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00065,S0065,Web Development,Technical,Yes,80.0,6.0,80.0,79.0,No Improvement,-1.0
T00066,S0066,Cloud Computing,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
T00067,S0067,Data Science,no,No,41.0,3.0,80.0,80.0,No Improvement,0.0
T00068,S0068,Cloud Computing,Technical,Yes,80.0,3.0,70.0,80.0,No Improvement,10.0
T00069,S0069,Communication Skills,Technical,No,80.0,3.0,80.0,12.0,Improvement,-68.0
T00070,S0070,Communication Skills,no,Yes,70.0,3.0,3.0,80.0,Improvement,77.0
T00071,S0071,Blockchain,Technical,Yes,35.0,3.0,80.0,80.0,Improvement,0.0
T00072,S0072,no,Soft Skills,Yes,80.0,3.0,80.0,26.0,no,-54.0
T00073,S0073,AI Fundamentals,Soft Skills,no,80.0,1.0,64.0,80.0,Improvement,16.0
T00074,S0074,Communication Skills,Soft Skills,no,80.0,6.0,80.0,80.0,no,0.0
T00075,S0075,Cloud Computing,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00076,S0076,Blockchain,Technical,Yes,37.0,2.0,10.0,80.0,Improvement,70.0
T00077,S0077,Python Programming,Soft Skills,No,84.0,3.0,80.0,80.0,no,0.0
T00078,S0078,Web Development,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00079,S0079,Python Programming,Technical,Yes,80.0,1.0,80.0,80.0,no,0.0
T00080,S0080,Python Programming,Soft Skills,Yes,80.0,3.0,90.0,78.0,Improvement,-12.0
T00081,S0081,IoT Basics,no,Yes,80.0,3.0,22.0,80.0,no,58.0
T00082,S0082,no,Technical,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00083,S0083,IoT Basics,no,Yes,80.0,3.0,80.0,80.0,no,0.0
T00084,S0084,IoT Basics,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00085,S0085,DevOps,Technical,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00086,S0086,Blockchain,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00087,S0087,Cybersecurity,Soft Skills,no,80.0,5.0,65.0,80.0,no,15.0
T00088,S0088,no,Technical,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00089,S0089,AI Fundamentals,no,No,80.0,6.0,80.0,48.0,No Improvement,-32.0
T00090,S0090,no,Technical,Yes,80.0,3.0,69.0,80.0,no,11.0
T00091,S0091,IoT Basics,Technical,No,80.0,4.0,16.0,80.0,no,64.0
T00092,S0092,Negotiation,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00093,S0093,Web Development,Soft Skills,Yes,80.0,6.0,80.0,80.0,No Improvement,0.0
T00094,S0094,Python Programming,Soft Skills,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00095,S0095,Leadership,Technical,Yes,37.0,3.0,23.0,80.0,Improvement,57.0
T00096,S0096,IoT Basics,no,No,80.0,3.0,41.0,80.0,no,39.0
T00097,S0097,Negotiation,Soft Skills,Yes,80.0,3.0,10.0,80.0,no,70.0
T00098,S0098,Cybersecurity,Technical,No,80.0,3.0,80.0,5.0,Improvement,-75.0
T00099,S0099,Cloud Computing,Technical,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00100,S0100,Leadership,Soft Skills,Yes,53.0,3.0,98.0,6.0,Improvement,-92.0
T00101,S0101,DevOps,no,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00102,S0102,DevOps,no,Yes,80.0,3.0,80.0,80.0,no,0.0
T00103,S0103,Leadership,Technical,Yes,80.0,6.0,53.0,80.0,No Improvement,27.0
T00104,S0104,Negotiation,Technical,no,78.0,3.0,80.0,93.0,No Improvement,13.0
T00105,S0105,Communication Skills,Technical,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00106,S0106,DevOps,no,No,62.0,6.0,80.0,80.0,Improvement,0.0
T00107,S0107,Cybersecurity,Technical,Yes,17.0,3.0,80.0,80.0,Improvement,0.0
T00108,S0108,Communication Skills,Technical,No,100.0,3.0,89.0,80.0,Improvement,-9.0
T00109,S0109,Cybersecurity,no,Yes,80.0,6.0,80.0,80.0,no,0.0
T00110,S0110,Python Programming,Soft Skills,no,80.0,2.0,27.0,80.0,No Improvement,53.0
T00111,S0111,DevOps,Technical,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00112,S0112,Web Development,Technical,Yes,5.0,6.0,41.0,80.0,no,39.0
T00113,S0113,DevOps,Technical,No,86.0,3.0,80.0,80.0,no,0.0
T00114,S0114,AI Fundamentals,Soft Skills,Yes,22.0,6.0,27.0,80.0,Improvement,53.0
T00115,S0115,DevOps,Technical,No,58.0,3.0,58.0,80.0,Improvement,22.0
T00116,S0116,Data Science,Soft Skills,No,80.0,1.0,83.0,80.0,Improvement,-3.0
T00117,S0117,IoT Basics,Technical,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00118,S0118,DevOps,Technical,Yes,19.0,2.0,91.0,40.0,Improvement,-51.0
T00119,S0119,DevOps,Technical,no,13.0,3.0,92.0,80.0,no,-12.0
T00120,S0120,Leadership,no,Yes,50.0,6.0,80.0,80.0,no,0.0
T00121,S0121,Blockchain,Technical,no,80.0,6.0,80.0,80.0,Improvement,0.0
T00122,S0122,Negotiation,Soft Skills,No,2.0,3.0,80.0,5.0,no,-75.0
T00123,S0123,Data Science,Soft Skills,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00124,S0124,no,Soft Skills,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00125,S0125,AI Fundamentals,no,No,80.0,3.0,80.0,80.0,no,0.0
T00126,S0126,Blockchain,Technical,no,80.0,6.0,80.0,80.0,no,0.0
T00127,S0127,Cybersecurity,Soft Skills,Yes,80.0,3.0,79.0,61.0,Improvement,-18.0
T00128,S0128,Web Development,Technical,Yes,61.0,4.0,80.0,80.0,no,0.0
T00129,S0129,Python Programming,Soft Skills,No,80.0,3.0,80.0,80.0,no,0.0
T00130,S0130,Communication Skills,Technical,no,80.0,3.0,80.0,80.0,No Improvement,0.0
T00131,S0131,Cybersecurity,Soft Skills,No,80.0,1.0,88.0,80.0,no,-8.0
T00132,S0132,IoT Basics,Soft Skills,no,29.0,6.0,80.0,55.0,No Improvement,-25.0
T00133,S0133,Web Development,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00134,S0134,Leadership,Soft Skills,no,65.0,3.0,80.0,80.0,no,0.0
T00135,S0135,DevOps,Soft Skills,No,80.0,1.0,80.0,77.0,Improvement,-3.0
T00136,S0136,Cybersecurity,Soft Skills,Yes,80.0,6.0,80.0,80.0,no,0.0
T00137,S0137,Blockchain,Soft Skills,No,80.0,3.0,32.0,80.0,Improvement,48.0
T00138,S0138,DevOps,no,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00139,S0139,Leadership,Soft Skills,Yes,80.0,4.0,80.0,80.0,no,0.0
T00140,S0140,Python Programming,no,Yes,80.0,3.0,80.0,60.0,Improvement,-20.0
T00141,S0141,Negotiation,Soft Skills,No,80.0,3.0,80.0,58.0,no,-22.0
T00142,S0142,AI Fundamentals,Technical,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00143,S0143,Negotiation,Soft Skills,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00144,S0144,Data Science,Soft Skills,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00145,S0145,Cloud Computing,no,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00146,S0146,Data Science,Soft Skills,Yes,80.0,3.0,80.0,59.0,No Improvement,-21.0
T00147,S0147,Data Science,no,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00148,S0148,Data Science,Soft Skills,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00149,S0149,AI Fundamentals,Technical,No,80.0,3.0,80.0,80.0,no,0.0
T00150,S0150,Communication Skills,Technical,Yes,46.0,2.0,80.0,39.0,no,-41.0
T00151,S0151,Cloud Computing,Technical,Yes,80.0,3.0,80.0,41.0,Improvement,-39.0
T00152,S0152,Negotiation,Soft Skills,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00153,S0153,Python Programming,Soft Skills,No,80.0,6.0,1.0,80.0,Improvement,79.0
T00154,S0154,Data Science,Technical,no,80.0,3.0,80.0,80.0,No Improvement,0.0
T00155,S0155,IoT Basics,Technical,No,80.0,2.0,80.0,80.0,no,0.0
T00156,S0156,Cloud Computing,Soft Skills,No,80.0,3.0,80.0,80.0,no,0.0
T00157,S0157,Cybersecurity,Soft Skills,No,80.0,3.0,99.0,80.0,No Improvement,-19.0
T00158,S0158,Python Programming,Soft Skills,no,80.0,6.0,80.0,91.0,No Improvement,11.0
T00159,S0159,Web Development,Technical,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00160,S0160,Negotiation,no,Yes,80.0,3.0,65.0,80.0,No Improvement,15.0
T00161,S0161,IoT Basics,Soft Skills,Yes,80.0,2.0,80.0,80.0,no,0.0
T00162,S0162,Negotiation,Technical,No,80.0,6.0,80.0,80.0,no,0.0
T00163,S0163,Cloud Computing,Technical,No,80.0,1.0,80.0,80.0,Improvement,0.0
T00164,S0164,Cloud Computing,Soft Skills,No,32.0,3.0,22.0,80.0,Improvement,58.0
T00165,S0165,Data Science,Soft Skills,No,80.0,3.0,16.0,80.0,no,64.0
T00166,S0166,Communication Skills,Soft Skills,Yes,80.0,5.0,12.0,53.0,no,41.0
T00167,S0167,IoT Basics,Technical,Yes,80.0,3.0,79.0,52.0,Improvement,-27.0
T00168,S0168,Cloud Computing,Technical,Yes,80.0,3.0,80.0,17.0,Improvement,-63.0
T00169,S0169,Python Programming,no,no,80.0,3.0,80.0,80.0,no,0.0
T00170,S0170,Leadership,Technical,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00171,S0171,IoT Basics,Technical,Yes,80.0,6.0,80.0,46.0,no,-34.0
T00172,S0172,Leadership,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00173,S0173,AI Fundamentals,Technical,Yes,94.0,3.0,80.0,80.0,Improvement,0.0
T00174,S0174,Blockchain,Technical,Yes,80.0,3.0,95.0,80.0,No Improvement,-15.0
T00175,S0175,Blockchain,Soft Skills,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00176,S0176,Cloud Computing,Soft Skills,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00177,S0177,no,Technical,No,80.0,5.0,80.0,80.0,Improvement,0.0
T00178,S0178,Communication Skills,no,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00179,S0179,Negotiation,Technical,Yes,80.0,5.0,80.0,91.0,no,11.0
T00180,S0180,Blockchain,Soft Skills,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00181,S0181,AI Fundamentals,Soft Skills,No,80.0,1.0,80.0,80.0,no,0.0
T00182,S0182,AI Fundamentals,Technical,Yes,80.0,6.0,31.0,100.0,no,69.0
T00183,S0183,Communication Skills,Technical,Yes,80.0,4.0,34.0,69.0,No Improvement,35.0
T00184,S0184,Data Science,no,no,80.0,3.0,80.0,80.0,no,0.0
T00185,S0185,IoT Basics,Soft Skills,No,80.0,3.0,22.0,80.0,no,58.0
T00186,S0186,Blockchain,Soft Skills,No,92.0,6.0,80.0,80.0,Improvement,0.0
T00187,S0187,Cloud Computing,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
T00188,S0188,Python Programming,Technical,Yes,62.0,3.0,80.0,80.0,no,0.0
T00189,S0189,Python Programming,no,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00190,S0190,AI Fundamentals,Soft Skills,Yes,80.0,6.0,51.0,80.0,No Improvement,29.0
T00191,S0191,Data Science,no,Yes,80.0,2.0,85.0,80.0,No Improvement,-5.0
T00192,S0192,Negotiation,no,Yes,80.0,1.0,100.0,80.0,no,-20.0
T00193,S0193,Web Development,no,No,85.0,3.0,80.0,98.0,Improvement,18.0
T00194,S0194,Cybersecurity,Soft Skills,no,80.0,2.0,80.0,80.0,no,0.0
T00195,S0195,Python Programming,Soft Skills,Yes,84.0,3.0,80.0,80.0,no,0.0
T00196,S0196,Negotiation,no,No,52.0,2.0,80.0,80.0,no,0.0
T00197,S0197,Python Programming,no,Yes,80.0,1.0,80.0,50.0,Improvement,-30.0
T00198,S0198,Python Programming,no,Yes,80.0,3.0,80.0,55.0,no,-25.0
T00199,S0199,Python Programming,Technical,Yes,80.0,3.0,88.0,65.0,no,-23.0
T00200,S0200,no,no,No,22.0,3.0,71.0,80.0,no,9.0
T00201,S0201,Data Science,Technical,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00202,S0202,Negotiation,Technical,Yes,80.0,3.0,86.0,49.0,no,-37.0
T00203,S0203,no,Soft Skills,No,92.0,3.0,80.0,80.0,no,0.0
T00204,S0204,Negotiation,Technical,Yes,80.0,2.0,58.0,53.0,Improvement,-5.0
T00205,S0205,Negotiation,no,No,80.0,3.0,66.0,80.0,Improvement,14.0
T00206,S0206,Leadership,no,Yes,80.0,1.0,80.0,80.0,No Improvement,0.0
T00207,S0207,Blockchain,no,No,80.0,1.0,80.0,31.0,no,-49.0
T00208,S0208,Cloud Computing,Technical,No,98.0,6.0,25.0,80.0,no,55.0
T00209,S0209,Communication Skills,Soft Skills,Yes,80.0,1.0,80.0,35.0,no,-45.0
T00210,S0210,Cybersecurity,Soft Skills,Yes,87.0,6.0,87.0,80.0,no,-7.0
T00211,S0211,Web Development,Technical,Yes,2.0,3.0,80.0,80.0,no,0.0
T00212,S0212,no,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
T00213,S0213,Cloud Computing,Soft Skills,No,80.0,3.0,80.0,80.0,no,0.0
T00214,S0214,Negotiation,Technical,No,80.0,1.0,80.0,80.0,Improvement,0.0
T00215,S0215,Negotiation,Technical,Yes,80.0,3.0,61.0,46.0,no,-15.0
T00216,S0216,no,Technical,Yes,80.0,6.0,80.0,80.0,no,0.0
T00217,S0217,IoT Basics,Soft Skills,Yes,80.0,3.0,80.0,51.0,no,-29.0
T00218,S0218,Blockchain,no,No,80.0,6.0,80.0,80.0,Improvement,0.0
T00219,S0219,Cybersecurity,Technical,No,80.0,3.0,80.0,80.0,no,0.0
T00220,S0220,Communication Skills,Soft Skills,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00221,S0221,AI Fundamentals,Soft Skills,No,80.0,6.0,80.0,80.0,no,0.0
T00222,S0222,Cybersecurity,Technical,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00223,S0223,Leadership,Soft Skills,No,80.0,3.0,80.0,80.0,no,0.0
T00224,S0224,Python Programming,Technical,Yes,80.0,6.0,80.0,95.0,No Improvement,15.0
T00225,S0225,Leadership,Technical,no,80.0,6.0,92.0,80.0,Improvement,-12.0
T00226,S0226,DevOps,Soft Skills,Yes,80.0,3.0,42.0,80.0,no,38.0
T00227,S0227,Web Development,Technical,Yes,80.0,1.0,80.0,80.0,Improvement,0.0
T00228,S0228,Python Programming,Soft Skills,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00229,S0229,Communication Skills,no,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00230,S0230,Data Science,Technical,Yes,80.0,3.0,80.0,81.0,Improvement,1.0
T00231,S0231,Web Development,Soft Skills,Yes,80.0,3.0,80.0,91.0,no,11.0
T00232,S0232,Web Development,Soft Skills,Yes,59.0,3.0,80.0,80.0,no,0.0
T00233,S0233,Negotiation,no,no,80.0,3.0,80.0,80.0,Improvement,0.0
T00234,S0234,Web Development,Technical,No,80.0,3.0,3.0,80.0,No Improvement,77.0
T00235,S0235,no,Technical,No,80.0,6.0,80.0,80.0,no,0.0
T00236,S0236,Data Science,Technical,Yes,80.0,3.0,74.0,55.0,Improvement,-19.0
T00237,S0237,Blockchain,Technical,No,80.0,6.0,80.0,93.0,No Improvement,13.0
T00238,S0238,IoT Basics,Technical,Yes,95.0,1.0,80.0,34.0,no,-46.0
T00239,S0239,Python Programming,Soft Skills,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00240,S0240,Web Development,Technical,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00241,S0241,Leadership,Technical,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00242,S0242,Python Programming,Soft Skills,Yes,80.0,3.0,100.0,43.0,No Improvement,-57.0
T00243,S0243,Cloud Computing,Technical,Yes,80.0,4.0,80.0,80.0,Improvement,0.0
T00244,S0244,Cybersecurity,Technical,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00245,S0245,Cybersecurity,no,No,37.0,6.0,90.0,80.0,no,-10.0
T00246,S0246,Leadership,Soft Skills,Yes,80.0,6.0,80.0,80.0,No Improvement,0.0
T00247,S0247,Cybersecurity,Soft Skills,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00248,S0248,Cloud Computing,Technical,Yes,80.0,6.0,68.0,84.0,no,16.0
T00249,S0249,Blockchain,Technical,Yes,80.0,3.0,14.0,80.0,no,66.0
T00250,S0250,Communication Skills,no,Yes,42.0,3.0,80.0,80.0,no,0.0
T00251,S0251,Communication Skills,no,Yes,62.0,5.0,80.0,80.0,no,0.0
T00252,S0252,Web Development,Technical,No,80.0,3.0,80.0,22.0,Improvement,-58.0
T00253,S0253,Data Science,Technical,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00254,S0254,Negotiation,Soft Skills,Yes,80.0,1.0,46.0,80.0,no,34.0
T00255,S0255,Data Science,Technical,No,80.0,3.0,54.0,80.0,Improvement,26.0
T00256,S0256,Cybersecurity,Soft Skills,No,80.0,6.0,80.0,78.0,no,-2.0
T00257,S0257,Data Science,no,No,0.0,3.0,80.0,80.0,No Improvement,0.0
T00258,S0258,DevOps,Technical,Yes,34.0,6.0,87.0,80.0,Improvement,-7.0
T00259,S0259,Cloud Computing,no,No,80.0,3.0,80.0,80.0,no,0.0
T00260,S0260,no,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
T00261,S0261,Blockchain,no,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00262,S0262,Data Science,Technical,Yes,80.0,6.0,80.0,80.0,No Improvement,0.0
T00263,S0263,IoT Basics,Soft Skills,no,80.0,6.0,80.0,80.0,Improvement,0.0
T00264,S0264,Cloud Computing,Soft Skills,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00265,S0265,Communication Skills,Technical,Yes,80.0,5.0,80.0,80.0,Improvement,0.0
T00266,S0266,IoT Basics,no,No,80.0,4.0,80.0,80.0,Improvement,0.0
T00267,S0267,Blockchain,Technical,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00268,S0268,Web Development,Technical,No,80.0,6.0,80.0,80.0,No Improvement,0.0
T00269,S0269,Leadership,Soft Skills,No,80.0,6.0,90.0,60.0,no,-30.0
T00270,S0270,Cybersecurity,Soft Skills,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00271,S0271,Negotiation,Technical,Yes,80.0,3.0,83.0,80.0,no,-3.0
T00272,S0272,Communication Skills,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00273,S0273,Python Programming,Technical,no,80.0,4.0,80.0,80.0,Improvement,0.0
T00274,S0274,Negotiation,Technical,Yes,80.0,6.0,80.0,80.0,no,0.0
T00275,S0275,no,Technical,Yes,80.0,1.0,80.0,22.0,No Improvement,-58.0
T00276,S0276,AI Fundamentals,Technical,Yes,80.0,1.0,80.0,80.0,no,0.0
T00277,S0277,no,Soft Skills,Yes,80.0,3.0,78.0,80.0,Improvement,2.0
T00278,S0278,Web Development,Technical,No,80.0,6.0,80.0,40.0,No Improvement,-40.0
T00279,S0279,AI Fundamentals,Soft Skills,no,73.0,3.0,80.0,80.0,no,0.0
T00280,S0280,Cloud Computing,no,No,69.0,3.0,85.0,80.0,Improvement,-5.0
T00281,S0281,Python Programming,Technical,No,20.0,3.0,98.0,80.0,Improvement,-18.0
T00282,S0282,Communication Skills,Soft Skills,Yes,62.0,3.0,80.0,80.0,no,0.0
T00283,S0283,Leadership,Technical,no,11.0,5.0,80.0,80.0,no,0.0
T00284,S0284,Web Development,Soft Skills,Yes,80.0,3.0,80.0,7.0,Improvement,-73.0
T00285,S0285,Python Programming,Soft Skills,No,80.0,3.0,91.0,14.0,Improvement,-77.0
T00286,S0286,Web Development,Technical,Yes,80.0,2.0,80.0,80.0,Improvement,0.0
T00287,S0287,Data Science,Soft Skills,Yes,80.0,3.0,80.0,80.0,no,0.0
T00288,S0288,Cloud Computing,Technical,Yes,90.0,5.0,62.0,17.0,Improvement,-45.0
T00289,S0289,Python Programming,no,Yes,80.0,3.0,80.0,48.0,Improvement,-32.0
T00290,S0290,Cloud Computing,Soft Skills,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00291,S0291,DevOps,Soft Skills,No,80.0,3.0,80.0,89.0,no,9.0
T00292,S0292,DevOps,Technical,no,80.0,1.0,80.0,80.0,No Improvement,0.0
T00293,S0293,Data Science,Soft Skills,Yes,80.0,6.0,48.0,93.0,no,45.0
T00294,S0294,Negotiation,Soft Skills,Yes,80.0,3.0,52.0,80.0,No Improvement,28.0
T00295,S0295,DevOps,Soft Skills,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00296,S0296,IoT Basics,Technical,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00297,S0297,Cloud Computing,Technical,No,80.0,3.0,80.0,80.0,no,0.0
T00298,S0298,Negotiation,Technical,no,80.0,3.0,80.0,50.0,Improvement,-30.0
T00299,S0299,Leadership,no,No,80.0,3.0,80.0,80.0,no,0.0
T00300,S0300,Blockchain,Soft Skills,Yes,80.0,3.0,78.0,62.0,No Improvement,-16.0
T00301,S0301,Leadership,Technical,Yes,80.0,6.0,36.0,80.0,no,44.0
