Student_ID,Attendance_Percentage,Mid_Term_Marks,Assignment_Score,Class_Participation,Activity_Participation,Aggregate_Academic_Score,Performance_Label
S0129,90.0,80.0,95.0,7.0,Yes,80.0,Good
S0132,90.0,62.0,95.0,7.0,Yes,93.0,At-Risk
S0133,80.0,62.0,95.0,6.0,Yes,61.0,Good
S0134,80.0,62.0,95.0,3.0,No,61.0,Good
S0135,96.0,80.0,95.0,5.0,No,89.0,At-Risk
S0139,90.0,62.0,95.0,7.0,No,80.0,Average
S0140,80.0,56.0,95.0,3.0,No,61.0,Good
S0141,90.0,80.0,95.0,3.0,No,80.0,Good
S0144,90.0,62.0,95.0,3.0,No,61.0,Good
S0148,80.0,88.0,95.0,5.0,Yes,61.0,Average
S0149,80.0,80.0,95.0,3.0,No,80.0,Good
S0150,90.0,62.0,95.0,6.0,No,80.0,Good
S0153,90.0,35.0,95.0,4.0,No,89.0,Good
S0154,80.0,50.0,95.0,3.0,No,81.0,Average
S0155,90.0,62.0,95.0,3.0,Yes,37.0,At-Risk
S0158,90.0,89.0,95.0,4.0,Yes,80.0,Average
S0160,90.0,62.0,95.0,3.0,Yes,74.0,Average
S0163,90.0,59.0,95.0,3.0,No,61.0,At-Risk
S0166,80.0,62.0,95.0,3.0,Yes,86.0,Good
S0168,90.0,62.0,95.0,4.0,Yes,36.0,At-Risk
S0174,80.0,80.0,95.0,3.0,No,61.0,Good
S0179,90.0,62.0,95.0,3.0,Yes,85.0,Good
S0181,80.0,80.0,95.0,6.0,No,80.0,Good
S0184,90.0,59.0,95.0,3.0,Yes,95.0,Average
S0185,90.0,79.0,95.0,7.0,No,61.0,Average
S0187,80.0,57.0,95.0,9.0,Yes,61.0,Average
S0188,90.0,62.0,95.0,3.0,No,61.0,Good
S0189,90.0,62.0,95.0,3.0,Yes,55.0,At-Risk
S0190,90.0,62.0,95.0,9.0,Yes,80.0,Average
S0192,90.0,62.0,95.0,3.0,Yes,80.0,At-Risk
S0194,90.0,80.0,95.0,3.0,Yes,54.0,Average
S0195,96.0,62.0,95.0,3.0,Yes,87.0,Good
S0203,80.0,48.0,95.0,3.0,Yes,80.0,Good
S0204,90.0,80.0,95.0,3.0,Yes,80.0,Good
S0208,80.0,62.0,95.0,3.0,Yes,61.0,Good
S0211,80.0,80.0,95.0,5.0,No,80.0,At-Risk
S0213,90.0,80.0,95.0,7.0,No,63.0,At-Risk
S0215,90.0,80.0,95.0,1.0,Yes,51.0,Average
S0217,80.0,80.0,95.0,4.0,Yes,76.0,At-Risk
S0218,96.0,39.0,95.0,4.0,No,61.0,At-Risk
S0219,90.0,62.0,95.0,10.0,Yes,61.0,At-Risk
S0222,96.0,80.0,95.0,3.0,No,61.0,Good
S0225,90.0,62.0,95.0,3.0,Yes,61.0,Good
S0228,83.0,79.0,95.0,5.0,Yes,61.0,Average
S0229,90.0,80.0,95.0,3.0,Yes,88.0,Average
S0236,90.0,62.0,95.0,3.0,Yes,80.0,Good
S0237,90.0,77.0,95.0,10.0,No,35.0,Good
S0239,80.0,80.0,95.0,4.0,No,80.0,Good
S0240,90.0,73.0,95.0,5.0,No,61.0,Average
S0244,90.0,35.0,95.0,3.0,Yes,61.0,Good
S0249,90.0,80.0,95.0,9.0,Yes,80.0,Average
S0250,90.0,72.0,95.0,3.0,No,80.0,Good
S0251,90.0,53.0,95.0,3.0,No,52.0,Good
S0253,80.0,62.0,95.0,3.0,No,80.0,Good
S0254,94.0,62.0,95.0,3.0,Yes,91.0,At-Risk
S0259,90.0,80.0,95.0,3.0,Yes,80.0,At-Risk
S0260,90.0,62.0,95.0,7.0,No,90.0,Good
S0267,92.0,80.0,95.0,1.0,Yes,80.0,Average
S0269,80.0,80.0,95.0,3.0,No,61.0,Average
S0272,90.0,62.0,95.0,3.0,Yes,40.0,Average
S0273,90.0,62.0,95.0,8.0,Yes,61.0,At-Risk
S0274,90.0,53.0,95.0,9.0,Yes,51.0,Good
S0275,90.0,62.0,95.0,3.0,Yes,61.0,Good
S0277,90.0,62.0,95.0,2.0,Yes,61.0,Average
S0279,90.0,80.0,95.0,3.0,Yes,80.0,Average
S0282,90.0,80.0,95.0,2.0,No,80.0,Average
S0284,80.0,80.0,95.0,10.0,Yes,53.0,At-Risk
S0285,90.0,80.0,95.0,3.0,Yes,75.0,Good
S0287,90.0,80.0,95.0,3.0,No,80.0,Good
S0288,90.0,62.0,95.0,8.0,Yes,61.0,Good
S0289,96.0,80.0,95.0,3.0,Yes,61.0,Good
S0290,90.0,80.0,95.0,3.0,Yes,61.0,Good
S0291,90.0,42.0,95.0,3.0,Yes,61.0,Average
S0297,90.0,62.0,95.0,3.0,Yes,61.0,At-Risk
S0298,90.0,62.0,95.0,1.0,No,61.0,Good
S0299,90.0,80.0,95.0,3.0,Yes,61.0,At-Risk
S0301,90.0,62.0,95.0,3.0,Yes,43.0,Average
S0302,96.0,35.0,95.0,10.0,Yes,32.5,Average
S0304,80.0,80.0,95.0,3.0,Yes,94.0,Good
S0306,80.0,53.0,95.0,4.0,No,80.0,Average
S0307,90.0,80.0,95.0,8.0,No,49.0,Average
S0308,90.0,80.0,95.0,1.0,Yes,80.0,At-Risk
S0311,90.0,46.0,95.0,10.0,Yes,61.0,Good
S0312,80.0,62.0,95.0,3.0,Yes,61.0,At-Risk
S0314,90.0,46.0,95.0,7.0,No,61.0,Average
S0318,86.0,62.0,95.0,10.0,Yes,80.0,Good
S0319,90.0,90.0,95.0,3.0,Yes,80.0,Average
S0322,90.0,62.0,95.0,3.0,No,61.0,Good
S0325,90.0,62.0,95.0,3.0,No,61.0,Average
S0326,90.0,80.0,95.0,4.0,Yes,61.0,Good
S0327,92.0,62.0,95.0,8.0,Yes,80.0,At-Risk
S0329,90.0,80.0,95.0,3.0,Yes,61.0,Average
S0332,82.0,62.0,95.0,3.0,Yes,44.0,At-Risk
S0333,90.0,80.0,95.0,1.0,Yes,80.0,Good
S0338,90.0,62.0,95.0,3.0,Yes,84.0,Good
S0339,80.0,47.0,95.0,9.0,Yes,80.0,Good
S0340,90.0,80.0,95.0,9.0,Yes,84.0,At-Risk
S0341,80.0,67.0,95.0,3.0,No,80.0,Good
S0342,90.0,80.0,95.0,8.0,No,60.0,Good
S0346,80.0,80.0,95.0,6.0,Yes,32.5,At-Risk
S0348,80.0,80.0,95.0,6.0,No,80.0,Average
S0349,90.0,80.0,95.0,3.0,Yes,80.0,Average
S0350,90.0,62.0,95.0,3.0,Yes,80.0,At-Risk
S0354,90.0,54.0,95.0,9.0,Yes,80.0,Average
S0360,90.0,62.0,95.0,4.0,Yes,80.0,Good
S0361,90.0,62.0,95.0,3.0,Yes,61.0,Good
S0362,90.0,74.0,95.0,3.0,Yes,76.0,At-Risk
S0363,90.0,80.0,95.0,8.0,No,80.0,Average
S0368,80.0,62.0,95.0,3.0,Yes,61.0,Good
S0371,90.0,62.0,95.0,10.0,Yes,61.0,Good
S0372,90.0,62.0,95.0,8.0,No,80.0,Good
S0373,80.0,84.0,95.0,3.0,Yes,61.0,Good
S0375,80.0,80.0,95.0,3.0,Yes,61.0,At-Risk
S0376,80.0,80.0,95.0,3.0,Yes,61.0,At-Risk
S0378,80.0,53.0,95.0,7.0,Yes,80.0,Good
S0381,90.0,71.0,95.0,3.0,Yes,80.0,At-Risk
S0382,80.0,62.0,95.0,4.0,Yes,61.0,Good
S0383,80.0,62.0,95.0,3.0,No,61.0,At-Risk
S0384,90.0,80.0,95.0,3.0,No,80.0,At-Risk
S0385,80.0,62.0,95.0,2.0,No,80.0,Good
S0386,80.0,80.0,95.0,3.0,Yes,80.0,Average
S0388,90.0,80.0,95.0,3.0,No,61.0,At-Risk
S0389,80.0,92.0,95.0,2.0,No,61.0,At-Risk
S0392,90.0,62.0,95.0,3.0,Yes,80.0,Good
S0393,80.0,62.0,95.0,10.0,Yes,61.0,At-Risk
S0397,90.0,80.0,95.0,3.0,Yes,80.0,Average
S0400,80.0,79.0,95.0,3.0,Yes,80.0,Good
S0401,90.0,35.0,95.0,3.0,No,79.0,Good
S0403,90.0,37.0,95.0,6.0,Yes,61.0,Good
S0406,80.0,88.0,95.0,3.0,Yes,45.0,Good
S0408,80.0,62.0,95.0,6.0,Yes,80.0,Average
S0409,90.0,80.0,95.0,3.0,Yes,74.0,Good
S0411,90.0,80.0,95.0,9.0,Yes,61.0,Good
S0412,96.0,55.0,95.0,2.0,Yes,80.0,Good
S0421,80.0,58.0,95.0,3.0,Yes,80.0,Average
S0423,90.0,80.0,95.0,10.0,Yes,71.0,Good
S0427,80.0,62.0,95.0,3.0,Yes,80.0,Average
S0432,90.0,62.0,95.0,6.0,Yes,80.0,At-Risk
S0433,80.0,80.0,95.0,3.0,No,61.0,At-Risk
S0436,80.0,74.0,95.0,1.0,Yes,61.0,Good
S0439,86.0,62.0,95.0,9.0,Yes,38.0,Good
S0440,96.0,80.0,95.0,7.0,No,83.0,Good
S0443,90.0,62.0,95.0,6.0,No,80.0,Good
S0448,90.0,94.0,95.0,3.0,No,80.0,At-Risk
S0449,80.0,75.0,95.0,3.0,Yes,52.0,Good
S0451,81.0,62.0,95.0,3.0,No,61.0,Good
S0453,90.0,80.0,95.0,3.0,No,32.5,At-Risk
S0455,90.0,80.0,95.0,2.0,Yes,61.0,Average
S0456,90.0,62.0,95.0,3.0,Yes,61.0,Average
S0460,90.0,62.0,95.0,4.0,Yes,61.0,Average
S0462,90.0,72.0,95.0,3.0,Yes,61.0,Average
S0463,90.0,80.0,95.0,3.0,Yes,61.0,Good
S0466,90.0,80.0,95.0,10.0,Yes,37.0,Average
S0468,90.0,62.0,95.0,9.0,Yes,80.0,Average
S0472,80.0,62.0,95.0,9.0,No,38.0,Good
S0476,90.0,81.0,95.0,7.0,Yes,61.0,Average
S0478,82.0,80.0,95.0,3.0,Yes,80.0,Average
S0479,80.0,80.0,95.0,10.0,Yes,80.0,At-Risk
S0481,90.0,62.0,95.0,3.0,Yes,61.0,Good
S0483,90.0,80.0,95.0,2.0,Yes,61.0,Good
S0484,90.0,62.0,95.0,8.0,No,84.0,Average
S0485,90.0,80.0,95.0,3.0,Yes,61.0,At-Risk
S0486,90.0,39.0,95.0,3.0,No,80.0,Good
S0487,90.0,80.0,95.0,4.0,No,87.0,At-Risk
S0488,86.0,80.0,95.0,8.0,Yes,61.0,At-Risk
S0489,80.0,82.0,95.0,3.0,Yes,79.0,Good
S0490,90.0,80.0,95.0,3.0,No,61.0,Average
S0492,84.0,80.0,95.0,3.0,No,33.0,At-Risk
S0496,80.0,77.0,95.0,2.0,No,80.0,At-Risk
S0498,87.0,80.0,95.0,3.0,Yes,80.0,Average
S0504,90.0,80.0,95.0,8.0,Yes,80.0,Average
S0507,96.0,80.0,95.0,1.0,No,61.0,At-Risk
S0508,90.0,80.0,95.0,10.0,Yes,80.0,At-Risk
S0509,90.0,80.0,95.0,3.0,Yes,86.0,Average
S0511,80.0,80.0,95.0,4.0,Yes,51.0,Good
S0513,90.0,62.0,95.0,3.0,Yes,80.0,Average
S0519,80.0,62.0,95.0,3.0,Yes,77.0,At-Risk
S0523,90.0,62.0,95.0,5.0,No,87.0,At-Risk
S0524,90.0,80.0,95.0,3.0,Yes,61.0,Good
S0527,90.0,62.0,95.0,9.0,Yes,61.0,Good
S0528,90.0,80.0,95.0,4.0,Yes,46.0,Average
S0530,90.0,80.0,95.0,5.0,No,94.0,Good
S0531,80.0,47.0,95.0,2.0,Yes,80.0,Average
S0535,80.0,67.0,95.0,3.0,Yes,80.0,Good
S0539,90.0,80.0,95.0,1.0,Yes,61.0,Good
S0540,80.0,71.0,95.0,7.0,Yes,80.0,At-Risk
S0542,90.0,67.0,95.0,9.0,No,32.5,Average
S0543,90.0,80.0,95.0,3.0,Yes,92.0,Average
S0544,90.0,62.0,95.0,3.0,Yes,42.0,Good
S0546,90.0,95.0,95.0,5.0,No,80.0,Average
S0547,90.0,62.0,95.0,8.0,Yes,61.0,At-Risk
S0548,90.0,76.0,95.0,3.0,No,34.0,At-Risk
S0551,80.0,86.0,95.0,6.0,Yes,61.0,Good
S0553,80.0,62.0,95.0,7.0,Yes,61.0,At-Risk
S0554,90.0,60.0,95.0,5.0,No,80.0,Good
S0556,90.0,62.0,95.0,3.0,Yes,33.0,At-Risk
S0560,90.0,89.0,95.0,2.0,Yes,94.0,At-Risk
S0562,80.0,80.0,95.0,3.0,No,80.0,Average
S0564,90.0,62.0,95.0,3.0,Yes,77.0,Good
S0566,90.0,88.0,95.0,8.0,Yes,80.0,At-Risk
S0568,90.0,62.0,95.0,4.0,Yes,61.0,Average
S0571,90.0,80.0,95.0,4.0,No,80.0,Good
S0577,90.0,80.0,95.0,6.0,Yes,80.0,Good
S0578,90.0,95.0,95.0,3.0,No,61.0,Average
S0582,90.0,60.0,95.0,4.0,Yes,80.0,Good
S0584,90.0,62.0,95.0,8.0,Yes,61.0,Average
S0585,90.0,59.0,95.0,3.0,Yes,49.0,Good
S0586,86.0,80.0,95.0,3.0,Yes,80.0,Average
S0587,90.0,62.0,95.0,3.0,Yes,61.0,Good
S0592,90.0,80.0,95.0,3.0,No,42.0,Average
S0593,80.0,67.0,95.0,2.0,Yes,61.0,Average
S0600,90.0,62.0,95.0,2.0,No,95.0,Good
S0601,80.0,35.0,95.0,3.0,Yes,39.0,Average
S0602,90.0,90.0,95.0,9.0,Yes,80.0,Good
S0603,90.0,62.0,95.0,3.0,No,67.0,At-Risk
S0604,90.0,80.0,95.0,3.0,Yes,61.0,Average
S0606,90.0,80.0,95.0,9.0,Yes,57.0,Average
S0607,80.0,84.0,95.0,3.0,Yes,61.0,At-Risk
S0608,88.0,80.0,95.0,3.0,No,80.0,At-Risk
S0610,90.0,80.0,95.0,9.0,No,80.0,Good
S0612,90.0,75.0,95.0,7.0,Yes,80.0,Good
S0614,90.0,88.0,95.0,10.0,Yes,52.0,At-Risk
S0616,80.0,62.0,95.0,2.0,Yes,80.0,At-Risk
S0618,90.0,35.0,95.0,3.0,Yes,32.5,At-Risk
S0619,96.0,80.0,95.0,3.0,Yes,60.0,At-Risk
S0620,90.0,80.0,95.0,7.0,Yes,75.0,Good
S0624,90.0,62.0,95.0,10.0,Yes,50.0,Average
S0625,90.0,79.0,95.0,2.0,Yes,61.0,Good
S0627,90.0,62.0,95.0,6.0,Yes,61.0,Average
S0629,90.0,62.0,95.0,3.0,No,61.0,At-Risk
S0632,90.0,80.0,95.0,10.0,Yes,61.0,Average
S0634,80.0,43.0,95.0,5.0,Yes,61.0,Good
S0635,90.0,80.0,95.0,3.0,Yes,80.0,Average
S0638,90.0,50.0,95.0,3.0,No,80.0,At-Risk
S0642,90.0,90.0,95.0,3.0,Yes,55.0,Good
S0645,90.0,48.0,95.0,3.0,No,80.0,Average
S0646,80.0,62.0,95.0,3.0,Yes,82.0,Good
S0648,90.0,80.0,95.0,7.0,Yes,80.0,Average
S0650,96.0,80.0,95.0,9.0,No,80.0,At-Risk
S0654,90.0,62.0,95.0,2.0,Yes,80.0,Average
S0658,90.0,62.0,95.0,3.0,Yes,60.0,At-Risk
S0661,90.0,80.0,95.0,6.0,Yes,61.0,Average
S0663,80.0,62.0,95.0,3.0,Yes,80.0,Good
S0664,93.0,80.0,95.0,3.0,No,80.0,At-Risk
S0665,90.0,45.0,95.0,4.0,Yes,80.0,Good
S0668,90.0,62.0,95.0,2.0,No,80.0,Average
S0674,90.0,62.0,95.0,3.0,Yes,80.0,Good
S0675,90.0,62.0,95.0,3.0,No,33.0,Good
S0676,90.0,80.0,95.0,10.0,No,61.0,Good
S0678,90.0,35.0,95.0,3.0,Yes,39.0,Average
S0680,90.0,62.0,95.0,4.0,Yes,36.0,Good
S0683,90.0,54.0,95.0,3.0,Yes,61.0,Average
S0684,80.0,80.0,95.0,10.0,Yes,72.0,Average
S0685,88.0,80.0,95.0,3.0,No,88.0,Average
S0688,90.0,80.0,95.0,8.0,No,61.0,Good
S0693,90.0,62.0,95.0,8.0,Yes,80.0,At-Risk
S0695,90.0,83.0,95.0,3.0,Yes,80.0,Good
S0697,90.0,62.0,95.0,4.0,Yes,61.0,Good
S0702,80.0,80.0,95.0,3.0,No,62.0,At-Risk
S0705,80.0,75.0,95.0,3.0,Yes,61.0,At-Risk
S0709,96.0,80.0,95.0,2.0,No,60.0,Good
S0710,93.0,74.0,95.0,3.0,Yes,80.0,At-Risk
S0711,90.0,80.0,95.0,3.0,Yes,80.0,At-Risk
S0712,80.0,76.0,95.0,3.0,Yes,61.0,Good
S0715,96.0,80.0,95.0,3.0,Yes,80.0,Average
S0719,96.0,80.0,95.0,3.0,Yes,61.0,Average
S0726,90.0,62.0,95.0,10.0,Yes,61.0,At-Risk
S0729,90.0,82.0,95.0,8.0,No,62.0,Average
S0731,90.0,62.0,95.0,8.0,Yes,80.0,At-Risk
S0735,90.0,80.0,95.0,3.0,No,42.0,At-Risk
S0739,90.0,80.0,95.0,3.0,Yes,80.0,Good
S0740,90.0,80.0,95.0,3.0,Yes,61.0,At-Risk
S0747,90.0,80.0,95.0,5.0,No,61.0,Good
S0748,80.0,67.0,95.0,1.0,Yes,80.0,Average
S0749,84.0,80.0,95.0,8.0,No,35.0,Good
S0753,90.0,80.0,95.0,3.0,Yes,91.0,At-Risk
S0758,90.0,80.0,95.0,3.0,No,61.0,Good
S0759,90.0,43.0,95.0,3.0,No,61.0,Good
S0762,90.0,62.0,95.0,3.0,No,61.0,Average
S0764,90.0,80.0,95.0,3.0,Yes,70.0,Average
S0765,90.0,82.0,95.0,4.0,Yes,61.0,Good
S0766,90.0,53.0,95.0,3.0,Yes,80.0,Good
S0767,90.0,85.0,95.0,2.0,Yes,80.0,Average
S0768,90.0,80.0,95.0,3.0,Yes,61.0,At-Risk
S0772,90.0,70.0,95.0,3.0,Yes,80.0,Average
S0774,87.0,36.0,95.0,1.0,Yes,61.0,Good
S0775,90.0,62.0,95.0,7.0,Yes,62.0,Good
S0776,90.0,80.0,95.0,3.0,Yes,90.0,Good
S0777,90.0,53.0,95.0,3.0,No,66.0,Average
S0779,89.0,80.0,95.0,4.0,Yes,95.0,Average
S0780,80.0,80.0,95.0,10.0,No,89.0,At-Risk
S0784,90.0,80.0,95.0,4.0,Yes,80.0,At-Risk
S0786,90.0,62.0,95.0,3.0,No,80.0,At-Risk
S0787,80.0,37.0,95.0,8.0,Yes,48.0,At-Risk
S0788,90.0,75.0,95.0,3.0,Yes,74.0,Good
S0791,90.0,62.0,95.0,9.0,No,61.0,Good
S0792,90.0,80.0,95.0,6.0,Yes,80.0,Good
S0793,86.0,62.0,95.0,7.0,Yes,47.0,Good
S0795,80.0,48.0,95.0,3.0,Yes,51.0,Good
S0799,90.0,62.0,95.0,3.0,No,61.0,At-Risk
S0802,90.0,52.0,95.0,2.0,No,80.0,Good
S0807,80.0,62.0,95.0,1.0,Yes,80.0,At-Risk
S0810,90.0,79.0,95.0,3.0,No,32.5,Average
S0813,90.0,62.0,95.0,3.0,Yes,61.0,Good
S0816,90.0,47.0,95.0,3.0,Yes,61.0,Good
S0817,96.0,80.0,95.0,7.0,Yes,38.0,At-Risk
S0821,80.0,62.0,95.0,2.0,Yes,32.5,At-Risk
S0824,80.0,86.0,95.0,5.0,Yes,61.0,Good
S0825,80.0,62.0,95.0,9.0,Yes,61.0,At-Risk
S0826,90.0,80.0,95.0,3.0,Yes,61.0,Good
S0828,80.0,80.0,95.0,3.0,No,80.0,Good
S0831,90.0,62.0,95.0,5.0,Yes,86.0,Average
S0832,80.0,80.0,95.0,3.0,No,61.0,Good
S0833,90.0,80.0,95.0,2.0,Yes,61.0,Average
S0834,90.0,62.0,95.0,3.0,No,61.0,Good
S0840,90.0,80.0,95.0,1.0,Yes,80.0,At-Risk
S0842,90.0,80.0,95.0,3.0,No,85.0,Average
S0843,90.0,80.0,95.0,3.0,Yes,80.0,Good
S0845,90.0,68.0,95.0,3.0,Yes,80.0,Good
S0846,90.0,58.0,95.0,3.0,Yes,80.0,Average
S0847,90.0,62.0,95.0,3.0,No,61.0,At-Risk
S0848,80.0,80.0,95.0,4.0,Yes,78.0,Average
S0853,80.0,62.0,95.0,3.0,Yes,61.0,Good
S0855,90.0,80.0,95.0,8.0,Yes,43.0,At-Risk
S0857,90.0,62.0,95.0,10.0,Yes,80.0,Average
S0858,90.0,71.0,95.0,8.0,Yes,61.0,Good
S0860,90.0,80.0,95.0,3.0,Yes,61.0,Good
S0861,95.0,62.0,95.0,3.0,Yes,61.0,Good
S0865,80.0,62.0,95.0,7.0,Yes,80.0,At-Risk
S0870,80.0,51.0,95.0,3.0,Yes,61.0,Good
S0871,90.0,62.0,95.0,4.0,Yes,61.0,Good
S0872,90.0,69.0,95.0,7.0,No,61.0,Good
S0873,90.0,80.0,95.0,9.0,Yes,39.0,At-Risk
S0875,80.0,62.0,95.0,3.0,Yes,38.0,Good
S0880,80.0,77.0,95.0,8.0,No,80.0,Good
S0883,90.0,62.0,95.0,1.0,Yes,61.0,At-Risk
S0886,90.0,62.0,95.0,4.0,Yes,94.0,At-Risk
S0887,90.0,62.0,95.0,7.0,Yes,80.0,At-Risk
S0888,90.0,79.0,95.0,5.0,No,61.0,Good
S0894,80.0,79.0,95.0,1.0,Yes,63.0,Average
S0899,87.0,80.0,95.0,3.0,No,61.0,Average
S0902,90.0,80.0,95.0,8.0,Yes,80.0,Good
S0905,90.0,80.0,95.0,3.0,No,61.0,Average
S0907,90.0,62.0,95.0,3.0,Yes,61.0,Average
S0910,90.0,62.0,95.0,3.0,Yes,43.0,At-Risk
S0912,90.0,80.0,95.0,9.0,No,80.0,At-Risk
S0913,96.0,62.0,95.0,10.0,Yes,61.0,Good
S0915,90.0,64.0,95.0,3.0,No,32.5,Good
S0918,80.0,62.0,95.0,6.0,Yes,61.0,Average
S0920,90.0,43.0,95.0,3.0,No,61.0,At-Risk
S0923,90.0,59.0,95.0,6.0,No,81.0,Good
S0927,80.0,62.0,95.0,10.0,Yes,61.0,At-Risk
S0935,80.0,80.0,95.0,2.0,No,62.0,At-Risk
S0936,80.0,41.0,95.0,3.0,Yes,47.0,At-Risk
S0937,90.0,80.0,95.0,8.0,Yes,46.0,Good
S0938,90.0,62.0,95.0,3.0,Yes,61.0,At-Risk
S0940,90.0,80.0,95.0,10.0,Yes,61.0,Average
S0941,90.0,80.0,95.0,9.0,Yes,76.0,Average
S0955,90.0,88.0,95.0,3.0,Yes,58.0,Good
S0958,80.0,80.0,95.0,4.0,Yes,86.0,Good
S0960,90.0,42.0,95.0,1.0,Yes,80.0,Average
S0962,80.0,80.0,95.0,3.0,Yes,61.0,Good
S0964,93.0,62.0,95.0,10.0,Yes,61.0,Average
S0965,90.0,80.0,95.0,2.0,Yes,53.0,Average
S0968,90.0,88.0,95.0,3.0,Yes,80.0,Average
S0971,90.0,62.0,95.0,9.0,Yes,80.0,Good
S0974,90.0,80.0,95.0,3.0,No,61.0,At-Risk
S0976,90.0,80.0,95.0,3.0,Yes,61.0,Good
S0977,90.0,80.0,95.0,3.0,No,61.0,At-Risk
S0979,90.0,40.0,95.0,9.0,No,63.0,Average
S0985,90.0,70.0,95.0,3.0,Yes,60.0,Average
S0988,90.0,80.0,95.0,10.0,Yes,61.0,Good
S0990,96.0,80.0,95.0,3.0,Yes,66.0,Good
S0995,80.0,80.0,95.0,7.0,Yes,80.0,Average
S0998,90.0,62.0,95.0,3.0,No,65.0,Average
S1001,90.0,80.0,95.0,1.0,Yes,92.0,Good
S1006,95.0,80.0,95.0,9.0,No,61.0,Average
S1010,96.0,62.0,95.0,3.0,Yes,80.0,Good
S1011,90.0,80.0,95.0,3.0,No,82.0,Average
S1012,90.0,80.0,95.0,2.0,Yes,61.0,Good
S1015,90.0,50.0,95.0,3.0,Yes,61.0,Average
S1016,90.0,80.0,95.0,3.0,Yes,61.0,Good
S1017,96.0,62.0,95.0,6.0,Yes,80.0,Good
S1020,90.0,62.0,95.0,3.0,Yes,61.0,At-Risk
S1024,90.0,62.0,95.0,3.0,Yes,40.0,Good
S1025,90.0,85.0,95.0,1.0,Yes,67.0,Good
S1028,80.0,59.0,95.0,1.0,Yes,61.0,At-Risk
S1029,80.0,80.0,95.0,9.0,Yes,43.0,Average
S1030,90.0,80.0,95.0,8.0,Yes,61.0,At-Risk
S1034,90.0,62.0,95.0,4.0,No,80.0,At-Risk
S1035,80.0,80.0,95.0,5.0,No,61.0,Good
S1037,90.0,80.0,95.0,3.0,Yes,61.0,At-Risk
